Module,category
ECM_Adhesion_Cytoskeleton_Remodeling,Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Mus musculus (mouse)
ECM_Adhesion_Cytoskeleton_Remodeling,glycoprotein biosynthetic process
ECM_Adhesion_Cytoskeleton_Remodeling,heparan sulfate proteoglycan biosynthetic process
ECM_Adhesion_Cytoskeleton_Remodeling,positive regulation of cell migration
ECM_Adhesion_Cytoskeleton_Remodeling,cell migration
ECM_Adhesion_Cytoskeleton_Remodeling,Proteoglycans in cancer - Mus musculus (mouse)
ECM_Adhesion_Cytoskeleton_Remodeling,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Mus musculus (mouse)
ECM_Adhesion_Cytoskeleton_Remodeling,cell differentiation
ECM_Adhesion_Cytoskeleton_Remodeling,cell adhesion
ECM_Adhesion_Cytoskeleton_Remodeling,in utero embryonic development
ECM_Adhesion_Cytoskeleton_Remodeling,Regulation of actin cytoskeleton - Mus musculus (mouse)
ECM_Adhesion_Cytoskeleton_Remodeling,angiogenesis
ECM_Adhesion_Cytoskeleton_Remodeling,Focal adhesion - Mus musculus (mouse)
ECM_Adhesion_Cytoskeleton_Remodeling,blood vessel development
ECM_Adhesion_Cytoskeleton_Remodeling,ECM-receptor interaction - Mus musculus (mouse)
ECM_Adhesion_Cytoskeleton_Remodeling,heart development
ECM_Adhesion_Cytoskeleton_Remodeling,Fluid shear stress and atherosclerosis - Mus musculus (mouse)
ECM_Adhesion_Cytoskeleton_Remodeling,cell-cell adhesion
ECM_Adhesion_Cytoskeleton_Remodeling,Chemokine signaling pathway - Mus musculus (mouse)
ECM_Adhesion_Cytoskeleton_Remodeling,Gap junction - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,negative regulation of apoptotic process
Growth_Survival_Stress_Signaling,positive regulation of cell population proliferation
Growth_Survival_Stress_Signaling,positive regulation of transcription by RNA polymerase II
Growth_Survival_Stress_Signaling,G protein-coupled receptor signaling pathway
Growth_Survival_Stress_Signaling,PI3K-Akt signaling pathway - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,negative regulation of DNA-templated transcription
Growth_Survival_Stress_Signaling,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction
Growth_Survival_Stress_Signaling,signal transduction
Growth_Survival_Stress_Signaling,positive regulation of MAPK cascade
Growth_Survival_Stress_Signaling,positive regulation of gene expression
Growth_Survival_Stress_Signaling,Ras signaling pathway - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,MAPK signaling pathway - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,Rap1 signaling pathway - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,negative regulation of gene expression
Growth_Survival_Stress_Signaling,positive regulation of ERK1 and ERK2 cascade
Growth_Survival_Stress_Signaling,cAMP signaling pathway - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,cellular response to hypoxia
Growth_Survival_Stress_Signaling,response to xenobiotic stimulus
Growth_Survival_Stress_Signaling,negative regulation of cell population proliferation
Growth_Survival_Stress_Signaling,HIF-1 signaling pathway - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,JAK-STAT signaling pathway - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,Cellular senescence - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,response to ethanol
Growth_Survival_Stress_Signaling,negative regulation of transcription by RNA polymerase II
Growth_Survival_Stress_Signaling,regulation of transcription by RNA polymerase II
Growth_Survival_Stress_Signaling,positive regulation of apoptotic process
Growth_Survival_Stress_Signaling,gene expression
Growth_Survival_Stress_Signaling,positive regulation of DNA-templated transcription
Growth_Survival_Stress_Signaling,response to oxidative stress
Growth_Survival_Stress_Signaling,regulation of gene expression
Growth_Survival_Stress_Signaling,intracellular signal transduction
Growth_Survival_Stress_Signaling,negative regulation of neuron apoptotic process
Growth_Survival_Stress_Signaling,Apelin signaling pathway - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,Relaxin signaling pathway - Mus musculus (mouse)
Growth_Survival_Stress_Signaling,response to hypoxia
Transport_Trafficking_Membrane_Homeostasis,Neuroactive ligand-receptor interaction - Mus musculus (mouse)
Transport_Trafficking_Membrane_Homeostasis,Endocytosis - Mus musculus (mouse)
Transport_Trafficking_Membrane_Homeostasis,Calcium signaling pathway - Mus musculus (mouse)
Transport_Trafficking_Membrane_Homeostasis,lipid metabolic process
Transport_Trafficking_Membrane_Homeostasis,transmembrane transport
Transport_Trafficking_Membrane_Homeostasis,monoatomic ion transmembrane transport
Transport_Trafficking_Membrane_Homeostasis,monoatomic ion transport
Transport_Trafficking_Membrane_Homeostasis,Glycosphingolipid biosynthesis - ganglio series - Mus musculus (mouse)
Transport_Trafficking_Membrane_Homeostasis,vesicle-mediated transport
Transport_Trafficking_Membrane_Homeostasis,Bile secretion - Mus musculus (mouse)
Transport_Trafficking_Membrane_Homeostasis,sodium ion transmembrane transport
Transport_Trafficking_Membrane_Homeostasis,calcium-mediated signaling
Transport_Trafficking_Membrane_Homeostasis,regulation of postsynaptic membrane potential
Energy_Metabolism_Mitochondria,Diabetic cardiomyopathy - Mus musculus (mouse)
Energy_Metabolism_Mitochondria,Thermogenesis - Mus musculus (mouse)
